,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
1,Norwich,52.63,1.3,59.0,87,100,13.87,GB,1603221821
2,Ust-Tsilma,65.44,52.15,26.44,98,100,3.87,RU,1603221821
3,Grand-Santi,4.25,-54.38,98.69,24,100,4.36,GF,1603221795
4,Olafsvik,64.89,-23.71,41.7,90,100,15.37,IS,1603221822
5,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
6,Mataura,-46.19,168.86,44.01,91,73,4.0,NZ,1603221360
7,Thompson,55.74,-97.86,30.2,63,90,3.36,CA,1603221392
8,Bethel,41.37,-73.41,69.01,77,75,5.82,US,1603221397
9,Hong Kong,22.29,114.16,73.99,68,82,1.99,HK,1603221110
10,Richards Bay,-28.78,32.04,68.79,75,97,12.28,ZA,1603221823
11,Freetown,8.48,-13.23,82.4,74,75,6.93,SL,1603221823
12,Santander,43.46,-3.8,73.4,53,20,12.75,ES,1603221759
13,Alofi,-19.06,-169.92,74.53,79,100,20.27,NU,1603221463
14,Faanui,-16.48,-151.75,78.6,83,15,16.13,PF,1603221392
15,Avarua,-21.21,-159.78,75.2,94,36,8.05,CK,1603221373
16,Busselton,-33.65,115.33,55.99,65,0,8.01,AU,1603221373
17,Albany,42.6,-73.97,66.0,77,100,0.56,US,1603221178
18,Tiksi,71.69,128.87,10.74,93,100,13.4,RU,1603221397
19,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
20,Pacific Grove,36.62,-121.92,71.6,82,40,5.82,US,1603221825
21,Tuatapere,-46.13,167.68,44.01,91,29,4.0,NZ,1603221424
22,Puerto Ayora,-0.74,-90.35,80.6,69,40,23.04,EC,1603221375
23,Outjo,-20.12,16.15,73.98,23,0,14.9,NA,1603221825
24,Upernavik,72.79,-56.15,33.28,86,100,6.85,GL,1603221371
25,Abhā,18.22,42.51,62.6,16,0,8.05,SA,1603221826
26,Hanzhong,33.07,107.03,54.9,61,100,0.83,CN,1603221826
27,Bereda,43.27,-7.54,57.0,100,100,7.0,ES,1603221757
28,Dikson,73.51,80.55,21.45,96,100,5.37,RU,1603221386
29,Punta Arenas,-53.15,-70.92,48.2,45,75,14.99,CL,1603221371
30,Banjarmasin,-3.32,114.59,75.51,86,92,2.01,ID,1603221827
31,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
32,Hong Kong,22.29,114.16,73.99,68,82,1.99,HK,1603221110
33,Balkhash,46.84,74.98,49.86,41,0,10.31,KZ,1603221814
34,Aksu,41.12,80.26,51.51,41,0,5.77,CN,1603221827
35,Albany,42.6,-73.97,66.0,77,100,0.56,US,1603221178
36,Atuona,-9.8,-139.03,77.47,75,0,19.04,PF,1603221365
37,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
38,Pueblo Nuevo,23.38,-105.38,78.82,37,0,5.01,MX,1603221828
39,Buluang,13.31,123.34,78.51,88,100,7.65,PH,1603221828
40,Mataura,-46.19,168.86,44.01,91,73,4.0,NZ,1603221360
41,Mataura,-46.19,168.86,44.01,91,73,4.0,NZ,1603221360
42,Puerto Ayora,-0.74,-90.35,80.6,69,40,23.04,EC,1603221375
43,Castro,-24.79,-50.01,79.97,48,16,1.7,BR,1603221373
44,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
45,Qaanaaq,77.48,-69.36,21.38,84,0,6.96,GL,1603221359
46,Beringovskiy,63.05,179.32,40.5,88,98,12.08,RU,1603221805
47,Punta Arenas,-53.15,-70.92,48.2,45,75,14.99,CL,1603221371
48,Coyhaique,-45.58,-72.07,55.4,43,20,10.29,CL,1603221446
49,Padang,-0.95,100.35,78.71,75,58,5.06,ID,1603221404
50,Cape Town,-33.93,18.42,59.0,62,0,10.29,ZA,1603221373
51,Meulaboh,4.14,96.13,77.52,84,43,3.83,ID,1603221412
52,Carnarvon,-24.87,113.63,68.0,77,40,19.46,AU,1603221397
53,Hasaki,35.73,140.83,54.0,93,20,6.93,JP,1603221452
54,Mataura,-46.19,168.86,44.01,91,73,4.0,NZ,1603221360
55,Lebu,-37.62,-73.65,53.8,63,0,19.82,CL,1603221395
56,Kapit,2.02,112.93,74.52,93,100,1.43,MY,1603221831
57,Nanortalik,60.14,-45.24,37.69,86,100,4.76,GL,1603221384
58,George Town,5.41,100.34,80.6,94,20,3.36,MY,1603221138
59,Santa Fe,-31.63,-60.7,60.71,89,100,14.45,AR,1603221749
60,Kavieng,-2.57,150.8,81.14,80,100,11.95,PG,1603221394
61,Carnarvon,-24.87,113.63,68.0,77,40,19.46,AU,1603221397
62,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
63,Isangel,-19.55,169.27,71.6,88,75,10.27,VU,1603221453
64,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
65,Klaksvík,62.23,-6.59,39.2,71,65,5.82,FO,1603221404
66,Puerto Ayora,-0.74,-90.35,80.6,69,40,23.04,EC,1603221375
67,Māndal,25.45,74.57,80.15,39,75,4.43,IN,1603221833
68,East London,-33.02,27.91,60.8,77,20,13.87,ZA,1603221392
69,Cape Town,-33.93,18.42,59.0,62,0,10.29,ZA,1603221373
70,Hilo,19.73,-155.09,79.0,60,1,6.93,US,1603221134
71,Saldanha,-33.01,17.94,57.2,71,0,11.41,ZA,1603221375
72,Fukuechō,32.69,128.84,70.05,61,22,8.68,JP,1603221834
73,Kokopo,-4.35,152.26,76.71,83,78,4.36,PG,1603221385
74,Fairbanks,64.84,-147.72,18.0,78,90,3.36,US,1603221433
75,Mataura,-46.19,168.86,44.01,91,73,4.0,NZ,1603221360
76,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
77,Carnarvon,-24.87,113.63,68.0,77,40,19.46,AU,1603221397
78,Seoul,37.57,126.98,51.8,87,75,3.04,KR,1603221675
79,Cape Town,-33.93,18.42,59.0,62,0,10.29,ZA,1603221373
80,Port Macquarie,-31.43,152.92,54.0,99,5,4.09,AU,1603221806
81,Husavik,66.04,-17.34,28.4,86,99,2.33,IS,1603221374
82,Swan River,52.11,-101.27,32.43,73,100,1.48,CA,1603221836
83,Constitución,-35.33,-72.42,62.47,55,0,19.37,CL,1603221759
84,Bluff,-46.6,168.33,44.01,91,83,4.0,NZ,1603221384
85,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
86,Avarua,-21.21,-159.78,75.2,94,36,8.05,CK,1603221373
87,Troitsko-Pechorsk,62.71,56.2,29.5,98,92,3.67,RU,1603221837
88,New Norfolk,-42.78,147.06,52.0,71,100,1.92,AU,1603221372
89,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
90,Marataizes,-21.04,-40.82,74.19,80,100,17.16,BR,1603221838
91,Akdepe,42.06,59.38,60.8,34,0,4.7,TM,1603221838
92,Karratha,-20.74,116.85,67.05,74,97,11.43,AU,1603221835
